grupo_origen,grupo_destino,n_autores,candidato_origen,candidato_destino,par_etiqueta,pct_sobre_grupo_origen
hostilidad,hostilidad,41,kast,jara,Kast → Jara,56.16438356164384
hostilidad,ironía,18,kast,jara,Kast → Jara,24.65753424657534
hostilidad,miedo,1,kast,jara,Kast → Jara,1.36986301369863
hostilidad,positivo,2,kast,jara,Kast → Jara,2.73972602739726
hostilidad,sin_emoción,11,kast,jara,Kast → Jara,15.068493150684931
ironía,hostilidad,6,kast,jara,Kast → Jara,30.0
ironía,ironía,4,kast,jara,Kast → Jara,20.0
ironía,miedo,4,kast,jara,Kast → Jara,20.0
ironía,sin_emoción,6,kast,jara,Kast → Jara,30.0
miedo,hostilidad,3,kast,jara,Kast → Jara,50.0
miedo,sin_emoción,3,kast,jara,Kast → Jara,50.0
sin_emoción,hostilidad,11,kast,jara,Kast → Jara,73.33333333333333
sin_emoción,ironía,2,kast,jara,Kast → Jara,13.333333333333334
sin_emoción,miedo,1,kast,jara,Kast → Jara,6.666666666666667
sin_emoción,sin_emoción,1,kast,jara,Kast → Jara,6.666666666666667
hostilidad,hostilidad,7,kaiser,kast,Kaiser → Kast,63.63636363636363
hostilidad,ironía,1,kaiser,kast,Kaiser → Kast,9.090909090909092
hostilidad,positivo,1,kaiser,kast,Kaiser → Kast,9.090909090909092
hostilidad,sin_emoción,2,kaiser,kast,Kaiser → Kast,18.181818181818183
ironía,hostilidad,3,kaiser,kast,Kaiser → Kast,50.0
ironía,ironía,2,kaiser,kast,Kaiser → Kast,33.333333333333336
ironía,sin_emoción,1,kaiser,kast,Kaiser → Kast,16.666666666666668
miedo,sin_emoción,1,kaiser,kast,Kaiser → Kast,100.0
sin_emoción,hostilidad,2,kaiser,kast,Kaiser → Kast,40.0
sin_emoción,positivo,2,kaiser,kast,Kaiser → Kast,40.0
sin_emoción,sin_emoción,1,kaiser,kast,Kaiser → Kast,20.0
hostilidad,hostilidad,5,kaiser,jara,Kaiser → Jara,55.55555555555556
hostilidad,ironía,3,kaiser,jara,Kaiser → Jara,33.333333333333336
hostilidad,sin_emoción,1,kaiser,jara,Kaiser → Jara,11.11111111111111
ironía,hostilidad,1,kaiser,jara,Kaiser → Jara,20.0
ironía,ironía,3,kaiser,jara,Kaiser → Jara,60.0
ironía,positivo,1,kaiser,jara,Kaiser → Jara,20.0
sin_emoción,hostilidad,3,kaiser,jara,Kaiser → Jara,60.0
sin_emoción,miedo,2,kaiser,jara,Kaiser → Jara,40.0
hostilidad,hostilidad,7,matthei,kast,Matthei → Kast,77.77777777777777
hostilidad,ironía,1,matthei,kast,Matthei → Kast,11.11111111111111
hostilidad,positivo,1,matthei,kast,Matthei → Kast,11.11111111111111
ironía,hostilidad,3,matthei,kast,Matthei → Kast,50.0
ironía,ironía,1,matthei,kast,Matthei → Kast,16.666666666666668
ironía,sin_emoción,2,matthei,kast,Matthei → Kast,33.333333333333336
miedo,sin_emoción,1,matthei,kast,Matthei → Kast,100.0
sin_emoción,hostilidad,2,matthei,kast,Matthei → Kast,50.0
sin_emoción,ironía,1,matthei,kast,Matthei → Kast,25.0
sin_emoción,sin_emoción,1,matthei,kast,Matthei → Kast,25.0
hostilidad,hostilidad,4,matthei,jara,Matthei → Jara,57.142857142857146
hostilidad,ironía,1,matthei,jara,Matthei → Jara,14.285714285714286
hostilidad,miedo,1,matthei,jara,Matthei → Jara,14.285714285714286
hostilidad,positivo,1,matthei,jara,Matthei → Jara,14.285714285714286
ironía,ironía,2,matthei,jara,Matthei → Jara,40.0
ironía,miedo,1,matthei,jara,Matthei → Jara,20.0
ironía,sin_emoción,2,matthei,jara,Matthei → Jara,40.0
positivo,hostilidad,1,matthei,jara,Matthei → Jara,100.0
sin_emoción,hostilidad,1,matthei,jara,Matthei → Jara,33.333333333333336
sin_emoción,ironía,1,matthei,jara,Matthei → Jara,33.333333333333336
sin_emoción,sin_emoción,1,matthei,jara,Matthei → Jara,33.333333333333336
hostilidad,hostilidad,42,jara,kast,Jara → Kast,65.625
hostilidad,ironía,12,jara,kast,Jara → Kast,18.75
hostilidad,miedo,3,jara,kast,Jara → Kast,4.6875
hostilidad,positivo,2,jara,kast,Jara → Kast,3.125
hostilidad,sin_emoción,5,jara,kast,Jara → Kast,7.8125
ironía,hostilidad,14,jara,kast,Jara → Kast,66.66666666666667
ironía,ironía,2,jara,kast,Jara → Kast,9.523809523809524
ironía,miedo,1,jara,kast,Jara → Kast,4.761904761904762
ironía,sin_emoción,4,jara,kast,Jara → Kast,19.047619047619047
miedo,hostilidad,1,jara,kast,Jara → Kast,25.0
miedo,ironía,1,jara,kast,Jara → Kast,25.0
miedo,sin_emoción,2,jara,kast,Jara → Kast,50.0
otro,positivo,1,jara,kast,Jara → Kast,100.0
positivo,hostilidad,3,jara,kast,Jara → Kast,75.0
positivo,sin_emoción,1,jara,kast,Jara → Kast,25.0
sin_emoción,hostilidad,12,jara,kast,Jara → Kast,60.0
sin_emoción,ironía,4,jara,kast,Jara → Kast,20.0
sin_emoción,miedo,1,jara,kast,Jara → Kast,5.0
sin_emoción,sin_emoción,3,jara,kast,Jara → Kast,15.0
